City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,saipan,15.1355,145.701,31.39,80,75,7.2,MP,2024-11-11 22:22:58
164,brookshire,29.7861,-95.9511,19.97,92,0,2.57,US,2024-11-11 22:22:59
165,peraiyur,9.7358,77.7896,28.72,53,5,0.28,IN,2024-11-11 22:23:01
166,fu'an,27.0892,119.6453,25.89,63,30,1.03,CN,2024-11-11 22:23:02
167,hasaki,35.7333,140.8333,18.95,63,100,1.62,JP,2024-11-11 22:22:47
168,isafjordur,66.0755,-23.124,8.07,90,100,8.98,IS,2024-11-11 22:23:04
169,pachperwa,27.5167,82.65,27.07,48,0,2.03,IN,2024-11-11 22:23:05
170,ribeira brava,32.65,-17.0667,20.35,70,11,1.14,PT,2024-11-11 22:23:06
171,nerchinsk,51.9833,116.5833,-5.1,81,44,0.87,RU,2024-11-11 22:23:07
172,mana,5.6592,-53.7767,24.38,93,100,4.34,GF,2024-11-11 22:23:09
173,lagoa,39.05,-27.9833,19.59,92,100,12.99,PT,2024-11-11 22:23:10
174,aginskoye,51.1,114.53,-2.92,61,95,3.24,RU,2024-11-11 22:23:11
175,stanley,54.868,-1.6985,2.51,92,67,1.03,GB,2024-11-11 22:19:43
176,yellowknife,62.456,-114.3525,-6.99,99,100,7.15,CA,2024-11-11 22:23:13
177,betio village,1.358,172.9211,28.44,68,25,6.42,KI,2024-11-11 22:23:14
178,smithers,54.7804,-127.1743,1.18,100,100,0.0,CA,2024-11-11 22:23:15
179,nuku'alofa,-21.1333,-175.2,22.19,100,100,3.6,TO,2024-11-11 22:23:17
180,laojunmiao,39.8333,97.7333,6.31,42,16,1.94,CN,2024-11-11 22:23:18
181,giddings,30.1827,-96.9364,19.92,56,0,2.06,US,2024-11-11 22:23:19
182,sabha,27.0377,14.4283,16.58,33,44,4.41,LY,2024-11-11 22:23:20
183,college,64.8569,-147.8028,-18.08,79,75,0.0,US,2024-11-11 22:23:21
184,chamical,-30.36,-66.314,17.86,55,0,1.67,AR,2024-11-11 22:23:23
185,kodiak,57.79,-152.4072,-0.27,74,0,2.06,US,2024-11-11 22:23:24
186,manicore,-5.8092,-61.3003,23.32,92,14,1.24,BR,2024-11-11 22:23:25
187,lorengau,-2.0226,147.2712,29.37,72,36,3.85,PG,2024-11-11 22:23:26
188,zholymbet,51.7433,71.7122,-12.54,92,12,5.47,KZ,2024-11-11 22:23:27
189,bac lieu,9.285,105.7244,29.52,69,97,1.42,VN,2024-11-11 22:23:28
190,menaka,15.9182,2.4022,20.71,19,0,4.09,ML,2024-11-11 22:23:29
191,krasnyy kholm,58.0607,37.1203,-1.82,88,99,3.1,RU,2024-11-11 22:23:31
192,selfoss,63.9331,-20.9971,10.58,96,100,12.68,IS,2024-11-11 22:19:51
193,filey,54.21,-0.2892,10.53,52,91,0.89,GB,2024-11-11 22:23:33
194,al burayqah,30.4062,19.5739,19.51,45,0,5.83,LY,2024-11-11 22:23:35
195,aasiaat,68.7098,-52.8699,-2.37,74,100,8.97,GL,2024-11-11 22:23:36
196,weno,7.4515,151.8468,26.47,79,100,2.36,FM,2024-11-11 22:23:38
197,cadereyta,25.5833,-99.9833,19.4,69,32,1.58,MX,2024-11-11 22:23:39
198,kayangel,8.0823,134.7173,28.68,73,67,3.77,PW,2024-11-11 22:23:40
199,lubango,-14.9172,13.4925,15.23,83,100,1.56,AO,2024-11-11 22:23:41
200,raja,8.4596,25.678,23.31,41,34,1.24,SS,2024-11-11 22:23:42
201,poronaysk,49.2167,143.1167,0.88,64,100,2.4,RU,2024-11-11 22:23:45
202,westport,41.1415,-73.3579,13.28,68,0,4.02,US,2024-11-11 22:23:05
203,saudarkrokur,65.7461,-19.6394,11.69,82,83,12.5,IS,2024-11-11 22:23:47
204,birobidzhan,48.8,132.95,0.37,29,43,4.94,RU,2024-11-11 22:23:48
205,banda aceh,5.5577,95.3222,27.74,71,100,1.01,ID,2024-11-11 22:23:49
206,sorong,-0.8833,131.25,27.37,74,94,0.9,ID,2024-11-11 22:23:51
207,tawau,4.2498,117.8871,31.63,59,32,4.02,MY,2024-11-11 22:23:52
208,botoroaga,44.1483,25.5447,5.27,71,100,2.96,RO,2024-11-11 22:23:53
209,tobelo,1.7284,128.0095,29.37,71,54,1.12,ID,2024-11-11 22:23:55
210,kempsey,-31.0833,152.8333,23.3,78,73,2.24,AU,2024-11-11 22:23:56
211,vukovar,45.3433,18.9997,2.87,93,100,1.54,HR,2024-11-11 22:23:57
212,muli,2.9167,73.5667,28.29,69,20,3.3,MV,2024-11-11 22:23:58
213,remire-montjoly,4.9167,-52.2667,23.02,100,0,2.06,GF,2024-11-11 22:23:59
214,alotau,-10.3069,150.4462,29.24,72,100,3.33,PG,2024-11-11 22:24:00
215,glendive,47.1053,-104.7125,2.79,87,0,2.57,US,2024-11-11 22:24:01
216,nar'yan-mar,67.6713,53.087,-10.71,93,68,3.11,RU,2024-11-11 22:21:11
217,lebu,-37.6167,-73.65,10.52,82,95,6.85,CL,2024-11-11 22:24:04
218,trairi,-3.2778,-39.2689,24.82,77,85,3.66,BR,2024-11-11 22:24:05
219,nahiyat al fuhud,30.9697,46.7228,23.88,48,81,5.05,IQ,2024-11-11 22:24:06
220,kupang,-10.1667,123.5833,34.32,55,20,5.66,ID,2024-11-11 22:24:07
221,nikolayevsk-on-amure,53.1406,140.73,-5.47,86,77,3.54,RU,2024-11-11 22:24:08
222,umm kaddadah,13.6017,26.6876,21.15,25,0,7.04,SD,2024-11-11 22:24:09
223,auki,-8.7676,160.7034,29.36,69,92,0.35,SB,2024-11-11 22:24:11
224,qashyr,53.0675,76.1036,-8.47,82,99,6.63,KZ,2024-11-11 22:24:12
225,steinen,47.6445,7.7391,6.93,95,100,0.0,DE,2024-11-11 22:24:13
226,brookings,44.3114,-96.7984,0.06,91,0,2.57,US,2024-11-11 22:24:14
227,vail,32.0479,-110.712,15.88,36,1,0.89,US,2024-11-11 22:24:15
228,sinabang,2.4803,96.3801,25.62,87,100,1.63,ID,2024-11-11 22:24:16
229,rongelap,11.1635,166.8941,28.39,78,18,5.81,MH,2024-11-11 22:22:16
230,nadym,65.5333,72.5167,-22.33,100,76,4.51,RU,2024-11-11 22:24:19
231,lidzbark warminski,54.1259,20.5795,-1.66,82,0,0.5,PL,2024-11-11 22:24:20
232,vero beach,27.6386,-80.3973,24.46,93,0,0.0,US,2024-11-11 22:24:21
233,mount gambier,-37.8333,140.7667,25.08,42,89,3.53,AU,2024-11-11 22:24:22
234,vuktyl,63.8567,57.3094,-7.92,97,98,1.27,RU,2024-11-11 22:24:23
235,lihue,21.9789,-159.3672,24.77,89,100,6.69,US,2024-11-11 22:24:24
236,ngetkib,7.3645,134.5148,27.14,83,75,2.06,PW,2024-11-11 22:24:26
237,zouerate,22.7187,-12.4521,21.12,14,10,0.98,MR,2024-11-11 22:24:27
238,zeya,53.75,127.2667,-7.76,71,2,1.27,RU,2024-11-11 22:24:28
239,obo,5.3998,26.4869,21.11,92,31,0.52,CF,2024-11-11 22:24:29
240,copiapo,-27.3667,-70.3333,18.03,60,0,0.88,CL,2024-11-11 22:24:30
241,galle,6.0367,80.217,30.52,79,47,0.45,LK,2024-11-11 22:24:31
242,polyarnyy,69.1989,33.4478,2.36,87,100,5.05,RU,2024-11-11 22:21:00
243,mogocha,53.7333,119.7667,-6.55,70,50,1.93,RU,2024-11-11 22:24:34
244,novo aripuana,-5.1206,-60.3797,23.44,92,26,1.24,BR,2024-11-11 22:24:35
245,pangody,65.85,74.4859,-21.12,100,99,4.03,RU,2024-11-11 22:24:36
246,luderitz,-26.6481,15.1594,17.4,60,70,4.44,NA,2024-11-11 22:24:37
247,panguipulli,-39.6333,-72.3333,5.03,99,100,0.5,CL,2024-11-11 22:24:38
248,mont-tremblant,46.1949,-74.6264,3.1,90,100,5.72,CA,2024-11-11 22:21:30
249,camara de lobos,32.6333,-16.9667,20.35,79,40,5.66,PT,2024-11-11 22:24:43
250,qui nhon,13.7667,109.2333,25.9,85,100,5.26,VN,2024-11-11 22:21:36
251,tinaquillo,9.9186,-68.3047,21.51,95,35,2.02,VE,2024-11-11 22:24:45
252,teruel,40.6667,-0.6667,4.59,90,89,3.32,ES,2024-11-11 22:24:47
253,paczkow,50.464,17.0066,0.62,75,46,0.09,PL,2024-11-11 22:24:48
254,duba,27.3513,35.6901,24.05,40,12,1.84,SA,2024-11-11 22:24:50
255,constantia,44.1833,28.65,5.39,82,98,6.62,RO,2024-11-11 22:20:28
256,severo-yeniseyskiy,60.3725,93.0408,-13.19,86,97,3.43,RU,2024-11-11 22:23:58
257,huancavelica,-12.7667,-74.9833,1.58,98,100,0.78,PE,2024-11-11 22:24:54
258,matoury,4.8483,-52.3317,22.98,100,0,2.06,GF,2024-11-11 22:24:55
259,lospalos,-8.5186,127.0025,30.96,43,40,4.61,TL,2024-11-11 22:24:57
260,moyale,3.5167,39.0584,22.84,64,70,3.32,KE,2024-11-11 22:24:58
261,crane,31.3974,-102.3501,17.54,44,57,3.94,US,2024-11-11 22:24:59
262,kavieng,-2.5744,150.7967,29.36,68,17,1.74,PG,2024-11-11 22:25:00
263,kourou,5.1552,-52.6478,23.97,92,100,1.56,GF,2024-11-11 22:25:01
264,parry sound,45.3501,-80.033,1.29,76,96,6.97,CA,2024-11-11 22:25:02
265,kalmunai,7.4167,81.8167,29.98,67,18,1.63,LK,2024-11-11 22:25:04
266,igrim,63.1906,64.4162,-9.6,92,99,1.65,RU,2024-11-11 22:25:05
267,labuan,5.2767,115.2417,28.1,75,92,2.79,MY,2024-11-11 22:25:06
268,kigoma,-4.8769,29.6267,22.39,82,89,2.01,TZ,2024-11-11 22:25:07
269,santa marta,11.2408,-74.199,26.02,78,100,1.84,CO,2024-11-11 22:25:09
270,fonte boa,-2.4959,-66.2662,25.45,76,100,0.68,BR,2024-11-11 22:25:10
271,touros,-5.1989,-35.4608,25.01,76,48,3.51,BR,2024-11-11 22:25:11
272,nadi,-17.8,177.4167,29.0,61,40,4.12,FJ,2024-11-11 22:23:05
273,tahe,52.3333,124.7333,-4.29,74,38,2.64,CN,2024-11-11 22:25:13
274,pontianak,-0.0333,109.3333,31.99,62,40,1.03,ID,2024-11-11 22:25:15
275,lompoc,34.6391,-120.4579,11.5,84,0,5.81,US,2024-11-11 22:25:16
276,gamay,12.3854,125.2979,29.11,76,38,2.49,PH,2024-11-11 22:25:17
277,kavaratti,10.5669,72.642,28.86,67,93,4.56,IN,2024-11-11 22:25:19
278,cedeira,43.6797,-8.0209,14.35,85,50,9.9,ES,2024-11-11 22:25:20
279,bandarbeyla,9.4942,50.8122,27.15,75,52,7.87,SO,2024-11-11 22:25:21
280,ola,59.5833,151.2833,-13.04,71,96,5.45,RU,2024-11-11 22:25:22
281,chagoda,59.164,35.3285,-1.88,91,100,1.94,RU,2024-11-11 22:25:23
282,tibanbang,6.6315,126.1055,28.72,76,36,1.49,PH,2024-11-11 22:25:25
283,camocim,-2.9022,-40.8411,24.17,79,86,3.98,BR,2024-11-11 22:25:26
284,ataq,14.5377,46.8319,20.92,48,8,0.74,YE,2024-11-11 22:25:27
285,vysokiy,58.35,60.05,-5.97,80,100,5.01,RU,2024-11-11 22:25:28
286,sathyamangalam,11.5167,77.25,29.21,59,97,0.48,IN,2024-11-11 22:25:29
287,utrik,11.2278,169.8474,27.88,80,56,6.5,MH,2024-11-11 22:25:31
288,arraial do cabo,-22.9661,-42.0278,22.34,86,20,10.24,BR,2024-11-11 22:25:32
289,vila franca do campo,37.7167,-25.4333,20.23,99,70,7.09,PT,2024-11-11 22:25:33
290,kamikawa,43.84,142.7711,6.57,74,62,4.53,JP,2024-11-11 22:25:34
291,egilsstadir,65.2653,-14.3948,9.25,96,100,8.99,IS,2024-11-11 22:25:36
292,alexandria,31.2156,29.9553,19.26,65,0,2.54,EG,2024-11-11 22:25:38
293,geraldton,-28.7667,114.6,24.23,53,0,9.77,AU,2024-11-11 22:25:39
294,san pascual,13.7975,121.0342,28.84,77,17,2.97,PH,2024-11-11 22:25:41
295,magadan,59.5667,150.8,-12.88,70,99,3.79,RU,2024-11-11 22:25:42
296,qarauyl,48.9451,79.255,-7.08,49,32,4.59,KZ,2024-11-11 22:25:43
297,mokhsogollokh,61.4681,128.9203,-13.52,92,90,0.65,RU,2024-11-11 22:25:44
298,hauterive,46.0901,3.4459,6.0,93,91,3.24,FR,2024-11-11 22:25:46
299,olonkinbyen,70.9221,-8.7187,1.91,99,100,8.63,SJ,2024-11-11 22:25:47
